Description,Department,Sub Department,Classification,Supplier,Dimension / Category,Name,Consignee,Actual Date of Arrival,Delivered to Atiak Farm,Identification details,Plate No,Chassis No or PIN,Engine No,Serial No,Year of Manufacture,Unit price in USD
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,25/07/2023,Received,,,CHSD22AAAP1025255,41345120,NA,2023," $125,736.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,25/07/2023,Received,,,CHSD22AAAP1025109,41344763,NA,2023," $125,736.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,25/07/2023,Received,,,CHSD22AAHP1025212,41345112,NA,2023," $125,736.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,25/07/2023,Received,,,CHSD22AACP1025245,41344774,NA,2023," $125,736.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,30/10/2023,Received,,,CHSD22AAKP1025394,41347276,NA,2023," $126,100.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,30/10/2023,Received,,,CHSD22AAEP1025261,41344833,NA,2023," $126,100.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,30/10/2023,Received,,,CHSD22AALP1025354,41347310,NA,2023," $126,100.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,30/10/2023,Received,,,CHSD22AAPP1025362,41347286,NA,2023," $126,100.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,30/10/2023,Received,,,CHSD22AACP1025231,41347312,NA,2023," $126,100.00 "
SD22 Bulldozer,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Dozer,UDC,30/10/2023,Received,,,CHSD22AAPP1025345,41347280,NA,2023," $126,100.00 "
XE215C Excavator (Hydraulic hammer),Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Excavator,UDC,18/08/2023,Received,,,XUGR215CNPKA19161,6BG1524578,NA,2023," $96,000.00 "
XE215C Excavator (Hydraulic hammer),Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Excavator,UDC,18/08/2023,Received,,,XUGR215CLPKA19264,6BG1524619,NA,2023," $96,000.00 "
XE215C Excavator ,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Excavator,UDC,18/08/2023,Received,,,XUGR215CVPKA19158,6BG1-524560,NA,2023," $89,700.00 "
XE215C Excavator ,Agriculture,Workshop,Earth Moving Machines,Oriemac,Heavy Machineries,Excavator,UDC,18/08/2023,Received,,,XUGR215CJPKA19203,6BG1-524605,NA,2023," $89,700.00 "
